source_file_id,issuer_folder_ticker,issuer_expected_name,issuer_assignment_status,issuer_assignment_evidence,source_drive_file_id,source_drive_parent_id,source_path_raw,source_folder_year_raw,source_filename_raw,mime_type,file_size_bytes,created_time_raw,modified_time_raw,source_url,sha256,hash_status,binary_duplicate_group_id,version_relation_status,version_of_source_file_id,supersedes_source_file_id,period_label_filename_raw,economic_period_status,period_start,period_end,period_type_raw,document_type_status,document_type_raw,pdf_text_layer_status,page_count,metadata_title_raw,metadata_author_raw,metadata_mismatch_status,first_seen_at,last_seen_at,source_status,notes
DRIVE:1L-3PuOyNuby9_H3IgSXZlevV3fEyfiAR,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1L-3PuOyNuby9_H3IgSXZlevV3fEyfiAR,1h0RRHOoouBIXCnWlgifRzXC3-raGozrK,Orange Côte d'Ivoire - ORAC/2024/2024_Rapport_S1_ORAC.pdf,2024,2024_Rapport_S1_ORAC.pdf,application/pdf,246331,2026-08-09T02:25:29.763Z,2026-03-23T20:26:52Z,https://drive.google.com/file/d/1L-3PuOyNuby9_H3IgSXZlevV3fEyfiAR,661b4e6459c88ca7b9ea1b83126174f8ab7b845e6f2837d3c12bd8cbea8e3a4b,COMPUTED,,NOT_REVIEWED,,,2024_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1qbTUP7poYXhns8l0zibD_k4ZW1Bgih64,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1qbTUP7poYXhns8l0zibD_k4ZW1Bgih64,1h0RRHOoouBIXCnWlgifRzXC3-raGozrK,Orange Côte d'Ivoire - ORAC/2024/2024_Rapport_T3_ORAC.pdf,2024,2024_Rapport_T3_ORAC.pdf,application/pdf,248926,2026-08-09T02:25:29.903Z,2026-03-23T20:26:51Z,https://drive.google.com/file/d/1qbTUP7poYXhns8l0zibD_k4ZW1Bgih64,5e053c0f24b96691eb6467dfef4c474837cf52a724bfa0288bf89550f63fd38c,COMPUTED,,NOT_REVIEWED,,,2024_T3,FILENAME_ONLY,,,T3,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1NErOtUSXj9taZC5XxyDqix5XxHhSlGmY,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1NErOtUSXj9taZC5XxyDqix5XxHhSlGmY,1h0RRHOoouBIXCnWlgifRzXC3-raGozrK,Orange Côte d'Ivoire - ORAC/2024/2024_Attestation_CAC_S1_ORAC.pdf,2024,2024_Attestation_CAC_S1_ORAC.pdf,application/pdf,225369,2026-08-09T02:25:29.623Z,2026-03-23T20:26:50Z,https://drive.google.com/file/d/1NErOtUSXj9taZC5XxyDqix5XxHhSlGmY,e067cfaf8819a74b5e508d568eb9c221a9b7e6bf57f33493e72bdd1fd86f4672,COMPUTED,,NOT_REVIEWED,,,2024_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,AUDIT_ATTESTATION,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1rSB93FIfQ0jN2JRhdW5x3lJdkSwDizuq,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1rSB93FIfQ0jN2JRhdW5x3lJdkSwDizuq,1h0RRHOoouBIXCnWlgifRzXC3-raGozrK,Orange Côte d'Ivoire - ORAC/2024/2024_Etats_Financiers_ORAC.pdf,2024,2024_Etats_Financiers_ORAC.pdf,application/pdf,457407,2026-08-09T02:25:30.303Z,2026-03-23T20:26:49Z,https://drive.google.com/file/d/1rSB93FIfQ0jN2JRhdW5x3lJdkSwDizuq,5067b47de6362133c6cc480c8bc098305385b8f509c930d1a3a332861041c204,COMPUTED,,NOT_REVIEWED,,,2024,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,FINANCIAL_STATEMENTS,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1rJrmoN_PdqrmcORRg4KpJTDj7SuNt4CC,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1rJrmoN_PdqrmcORRg4KpJTDj7SuNt4CC,1h0RRHOoouBIXCnWlgifRzXC3-raGozrK,Orange Côte d'Ivoire - ORAC/2024/2024_Rapport_Annuel_ORAC.pdf,2024,2024_Rapport_Annuel_ORAC.pdf,application/pdf,5909718,2026-08-09T06:33:39.697Z,2026-03-23T20:26:46Z,https://drive.google.com/file/d/1rJrmoN_PdqrmcORRg4KpJTDj7SuNt4CC,c6aa28fa67c2061ec41e744322c54d9b4c3af73111a59692bb1567b9c0148c43,COMPUTED,,NOT_REVIEWED,,,2024,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Newly seen during live refresh
DRIVE:1axYMOBTB12ZG9HuLxP_4RSKPnkUJ_GKY,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1axYMOBTB12ZG9HuLxP_4RSKPnkUJ_GKY,1h0RRHOoouBIXCnWlgifRzXC3-raGozrK,Orange Côte d'Ivoire - ORAC/2024/rapport_rse_2024_-_orange_ci.pdf,2024,rapport_rse_2024_-_orange_ci.pdf,application/pdf,11002565,2026-08-09T06:33:44.192Z,2026-03-23T20:26:40Z,https://drive.google.com/file/d/1axYMOBTB12ZG9HuLxP_4RSKPnkUJ_GKY,a947961000169d474f6eb4164541972c420dfb7b8aa45721500cd4b598faa54c,COMPUTED,,NOT_REVIEWED,,,2024,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,RSE_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,New document family; content not yet reviewed
DRIVE:1drsJJT6OXyhi7ZcHZm-iJ0PObDh0hyAK,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1drsJJT6OXyhi7ZcHZm-iJ0PObDh0hyAK,17TAD3aic-5cqQgI5b7RR9Jy0WlSQLQ20,Orange Côte d'Ivoire - ORAC/2025/2025_Rapport_T1_ORAC.pdf,2025,2025_Rapport_T1_ORAC.pdf,application/pdf,245405,2026-08-09T02:25:33.217Z,2026-03-23T20:26:47Z,https://drive.google.com/file/d/1drsJJT6OXyhi7ZcHZm-iJ0PObDh0hyAK,47097a5c4678704d54aa8f44485bd662e6118c5f381a263f32567f3d9c051bfe,COMPUTED,,NOT_REVIEWED,,,2025_T1,FILENAME_ONLY,,,T1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:17x7Ab-fqihr8c3YwWS-yGUSTr1z0m3fR,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,17x7Ab-fqihr8c3YwWS-yGUSTr1z0m3fR,17TAD3aic-5cqQgI5b7RR9Jy0WlSQLQ20,Orange Côte d'Ivoire - ORAC/2025/2025_Rapport_S1_ORAC.pdf,2025,2025_Rapport_S1_ORAC.pdf,application/pdf,283340,2026-08-09T02:25:33.275Z,2026-03-23T20:26:29Z,https://drive.google.com/file/d/17x7Ab-fqihr8c3YwWS-yGUSTr1z0m3fR,32a2a7ab11b278e89b7213bc1345d1f0fcac53395f0f10ca9948b902d6ac828e,COMPUTED,,NOT_REVIEWED,,,2025_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1vFYoQmPJYyaLYtUS0X0gRkMlVDdyH5Xv,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1vFYoQmPJYyaLYtUS0X0gRkMlVDdyH5Xv,17TAD3aic-5cqQgI5b7RR9Jy0WlSQLQ20,Orange Côte d'Ivoire - ORAC/2025/2025_Attestation_CAC_S1_ORAC.pdf,2025,2025_Attestation_CAC_S1_ORAC.pdf,application/pdf,492570,2026-08-09T02:25:33.746Z,2026-03-23T20:26:27Z,https://drive.google.com/file/d/1vFYoQmPJYyaLYtUS0X0gRkMlVDdyH5Xv,23e35668215ea5bf28dce99dceea9fb260df95da961a36c949db4b361024cc6e,COMPUTED,,NOT_REVIEWED,,,2025_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,AUDIT_ATTESTATION,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:139Pw8uPPysjGv1l8OM0Rx2LqY7cWU5r7,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,139Pw8uPPysjGv1l8OM0Rx2LqY7cWU5r7,17TAD3aic-5cqQgI5b7RR9Jy0WlSQLQ20,Orange Côte d'Ivoire - ORAC/2025/2025_Rapport_T3_ORAC.pdf,2025,2025_Rapport_T3_ORAC.pdf,application/pdf,264402,2026-08-09T02:25:33.347Z,2026-03-23T20:26:26Z,https://drive.google.com/file/d/139Pw8uPPysjGv1l8OM0Rx2LqY7cWU5r7,09f11c650e203e012d1cb18026d169ecca22fc60dce674828fc068d7fb23c15b,COMPUTED,,NOT_REVIEWED,,,2025_T3,FILENAME_ONLY,,,T3,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:11tyPlRm-sYr8BGn82jFnPakTR_JHW8p4,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,11tyPlRm-sYr8BGn82jFnPakTR_JHW8p4,17TAD3aic-5cqQgI5b7RR9Jy0WlSQLQ20,Orange Côte d'Ivoire - ORAC/2025/2025_Etats_Financiers_ORAC.pdf,2025,2025_Etats_Financiers_ORAC.pdf,application/pdf,637067,2026-08-09T02:25:33.977Z,2026-03-23T20:26:25Z,https://drive.google.com/file/d/11tyPlRm-sYr8BGn82jFnPakTR_JHW8p4,18fcace22a971a48186ea783a4ec5c5d42e4c96b73cf00493062bca6e005a377,COMPUTED,,NOT_REVIEWED,,,2025,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,FINANCIAL_STATEMENTS,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
